INDEX,"HOU,C,3","PSH,C,5","PARISH,N,2,0","TYPE,C,4","CITY,C,17","STATE,C,2","ZIP,C,5","AGE,C,3","GENDER,C,1","RACE,C,1","PARTY_ID,C,1","VOTE_FREQ,C,1","PPP,C,1 (P for presidential primary)","NEW,C,1","How they vote (in person, mail, early)","MAIL_CITY,C,28","MAIL_STATE,C,20","MAIL_ZIP,C,5"
1,90,StTam,52,Land,PEARL RIVER,LA,70452,40,M,W,D,7,P,,I,PEARL RIVER,LA,70452
2,90,StTam,52,Cell,PEARL RIVER,LA,70452,58,F,B,D,A,P,,E,PEARL RIVER,LA,70452
3,90,StTam,52,,SLIDELL,LA,70458,28,F,W,D,3,P,,M,SLIDELL,LA,70458
4,90,StTam,52,,SLIDELL,LA,70458,41,F,W,D,1,,,E,SLIDELL,LA,70458
5,90,StTam,52,Land,PEARL RIVER,LA,70452,75,M,B,D,4,P,,E,PEARL RIVER,LA,70452
6,90,StTam,52,,SLIDELL,LA,70458,26,F,B,D,1,,,I,SLIDELL,LA,70458
7,90,StTam,52,Land,SLIDELL,LA,70460,50,M,B,D,1,,,I,SLIDELL,LA,70460
8,90,StTam,52,Land,PEARL RIVER,LA,70452,67,M,H,D,5,,,I,PEARL RIVER,LA,70452
9,90,StTam,52,Land,SLIDELL,LA,70460,74,M,W,D,3,P,,I,SLIDELL,LA,70460
10,90,StTam,52,Land,SLIDELL,LA,70460,70,F,W,D,6,P,,I,SLIDELL,LA,70460
11,90,StTam,52,,SLIDELL,LA,70460,45,M,W,D,7,P,,I,SLIDELL,LA,70460
12,90,StTam,52,,PEARL RIVER,LA,70452,76,M,B,D,3,,,E,PEARL RIVER,LA,70452
13,90,StTam,52,Land,SLIDELL,LA,70460,69,F,B,D,4,,,E,SLIDELL,LA,70460
14,90,StTam,52,Land,SLIDELL,LA,70460,78,M,B,D,7,P,,E,SLIDELL,LA,70459
15,90,StTam,52,Land,SLIDELL,LA,70460,47,F,B,D,4,,,E,SLIDELL,LA,70460
16,90,StTam,52,Land,SLIDELL,LA,70460,73,M,W,D,1,,,,SLIDELL,LA,70460
17,90,StTam,52,Land,SLIDELL,LA,70460,42,F,B,D,3,,,I,SLIDELL,LA,70460
18,90,StTam,52,Land,SLIDELL,LA,70458,50,F,H,D,1,,,I,SLIDELL,LA,70458
19,90,StTam,52,,SLIDELL,LA,70458,38,F,B,D,3,,,E,SLIDELL,LA,70458
20,90,StTam,52,,SLIDELL,LA,70458,55,M,B,D,3,,,I,SLIDELL,LA,70458
21,90,StTam,52,Cell,SLIDELL,LA,70460,77,M,B,D,9,P,,M,SLIDELL,LA,70460
22,90,StTam,52,,PEARL RIVER,LA,70452,32,M,O,D,3,,,I,PEARL RIVER,LA,70452
23,90,StTam,52,Land,SLIDELL,LA,70460,38,F,B,D,1,,N,E,SLIDELL,LA,70460
24,90,StTam,52,Land,PEARL RIVER,LA,70452,82,F,B,D,2,,,E,PEARL RIVER,LA,70452
25,90,StTam,52,,SLIDELL,LA,70458,50,M,B,D,4,,,I,SLIDELL,LA,70458
